"";"key";"numDMI";"Criterio"
"96";"0013a20040ebadef";"AA0198";"sin datos 1 mes"
"97";"0013a20040ebaebf";"AA0204";"sin datos 1 mes"
"98";"0013a20040ebaec0";"AA0205";"sin datos 1 mes"
"99";"0013a20040ebaecb";"AA0206";"sin datos 1 mes"
"100";"0013a20040ebae02";"AA0211";"sin datos 1 mes"
"101";"0013a20040ebae04";"AA0215";"sin datos 1 mes"
"102";"0013a20040ebaea7";"AA0216";"sin datos 1 mes"
"103";"0013a20040ebacdc";"AA0217";"sin datos 1 mes"
"104";"0013a20040ebacdd";"AA0218";"sin datos 1 mes"
"105";"0013a20040ebacd7";"AA0219";"sin datos 1 mes"
"106";"0013a20040ebadfe";"AA0222";"sin datos 1 mes"
"107";"0013a20040ebae24";"AA0223";"sin datos 1 mes"
"108";"0013a20040ebae21";"AA0225";"sin datos 1 mes"
"109";"0013a20040ebadde";"AA0227";"sin datos 1 mes"
"110";"0013a20040ebadfd";"AA0228";"sin datos 1 mes"
"111";"0013a20040ebadf5";"AA0230";"sin datos 1 mes"
"112";"0013a20040ebadf0";"AA0231";"sin datos 1 mes"
"113";"0013a20040ebadec";"AA0233";"sin datos 1 mes"
"114";"0013a20040ebadd7";"AA0234";"sin datos 1 mes"
"115";"0013a20040ebade9";"AA0236";"sin datos 1 mes"
"116";"0013a20040ebadf6";"AA0237";"sin datos 1 mes"
"117";"0013a20040ebadeb";"AA0239";"sin datos 1 mes"
"118";"0013a20040ebadff";"AA0240";"sin datos 1 mes"
"119";"0013a20040ebacc9";"AA0242";"sin datos 1 mes"
"120";"0013a20040ebacd3";"AA0246";"sin datos 1 mes"
"121";"0013a20040ebaccc";"AA0247";"sin datos 1 mes"
"122";"0013a20040ebacc6";"AA0248";"sin datos 1 mes"
"123";"0013a20040ebacd5";"AA0249";"sin datos 1 mes"
"124";"0013a20040ebacd0";"AA0250";"sin datos 1 mes"
"125";"0013a20040ebaccf";"AA0254";"sin datos 1 mes"
