key;numDMI;Criterio
0013a20040ebacc6;AA0248;sin datos 1 mes
0013a20040ebacd5;AA0249;sin datos 1 mes
0013a20040ebacd0;AA0250;sin datos 1 mes
0013a20040ebaccf;AA0254;sin datos 1 mes
0013a20040ebac90;AA0258;sin datos 1 mes
0013a20040ebac92;AA0259;sin datos 1 mes
0013a20040ebca55;AA0261;sin datos 1 mes
0013a20040ebca35;AA0262;sin datos 1 mes
0013a20040ebca33;AA0263;sin datos 1 mes
0013a20040ebca58;AA0267;sin datos 1 mes
0013a20040ebca5b;AA0268;sin datos 1 mes
0013a20040ebca4f;AA0269;sin datos 1 mes
0013a20040ebca12;AA0272;sin datos 1 mes
0013a20040ebca08;AA0276;sin datos 1 mes
0013a20040ebca14;AA0278;sin datos 1 mes
0013a20040ebca0e;AA0279;sin datos 1 mes
0013a20040ebca16;AA0280;sin datos 1 mes
0013a20040ebca0b;AA0282;sin datos 1 mes
0013a20040ebca06;AA0284;sin datos 1 mes
0013a20040ebc9e7;AA0286;sin datos 1 mes
0013a20040ebc937;AA0287;sin datos 1 mes
0013a20040ebc8b7;AA0289;sin datos 1 mes
0013a20040ebc92c;AA0292;sin datos 1 mes
0013a20040ebc9eb;AA0295;sin datos 1 mes
0013a20040ebc9f8;AA0297;sin datos 1 mes
0013a20040ebc9fc;AA0298;sin datos 1 mes
0013a20040ebc9fe;AA0301;sin datos 1 mes
0013a20040ebc9e2;AA0304;sin datos 1 mes
0013a20040ebc9ee;AA0305;sin datos 1 mes
0013a20040ebc9fd;AA0307;sin datos 1 mes
0013a20040ebc8ba;AA0308;sin datos 1 mes
0013a20040ebc9e5;AA0309;sin datos 1 mes
0013a20040ebc9e4;AA0310;sin datos 1 mes
0013a20040ebc962;AA0314;sin datos 1 mes
0013a20040ebc965;AA0315;sin datos 1 mes
0013a20040ebc95e;AA0316;sin datos 1 mes
0013a20040ebca02;AA0317;sin datos 1 mes
0013a20040ebc97a;AA0318;sin datos 1 mes
0013a20040ebc967;AA0324;sin datos 1 mes
0013a20040ebc983;AA0325;sin datos 1 mes
0013a20040ebc949;AA0326;sin datos 1 mes
0013a20040ebc94b;AA0332;sin datos 1 mes
0013a20040ebc945;AA0335;sin datos 1 mes
0013a20040ebc88f;AA0337;sin datos 1 mes
0013a20040ebca2c;AA0340;sin datos 1 mes
0013a20040ebc8b3;AA0342;sin datos 1 mes
0013a20040ebca2b;AA0344;sin datos 1 mes
0013a20040ebca26;AA0349;sin datos 1 mes
0013a20040ebca25;AA0350;sin datos 1 mes
0013a20040ebca19;AA0351;sin datos 1 mes
0013a20040ebca23;AA0352;sin datos 1 mes
0013a20040ebca20;AA0356;sin datos 1 mes
0013a20040ebca2a;AA0357;sin datos 1 mes
0013a20040ebc88b;AA0361;sin datos 1 mes
0013a20040ebc88c;AA0364;sin datos 1 mes
0013a20040ebc89d;AA0365;sin datos 1 mes
0013a20040ebc88d;AA0366;sin datos 1 mes
0013a20040ebc9e8;AA0371;sin datos 1 mes
0013a20040ebc944;AA0372;sin datos 1 mes
0013a20040ebc938;AA0373;sin datos 1 mes
0013a20040ebc935;AA0376;sin datos 1 mes
0013a20040ebc982;AA0381;sin datos 1 mes
0013a20040ebc986;AA0383;sin datos 1 mes
0013a20040ebc947;AA0385;sin datos 1 mes
0013a20040ebc8cb;AA0387;sin datos 1 mes
0013a20040ebc8c3;AA0389;sin datos 1 mes
0013a20040ebc8d5;AA0391;sin datos 1 mes
0013a20040ebc8d2;AA0393;sin datos 1 mes
0013a20040ebc8ca;AA0394;sin datos 1 mes
0013a20040ebc8c7;AA0395;sin datos 1 mes
0013a20040ebc8db;AA0398;sin datos 1 mes
0013a20040ebc8dc;AA0399;sin datos 1 mes
0013a20040ebc8d9;AA0400;sin datos 1 mes
0013a20040ebc9de;AA0407;sin datos 1 mes
0013a20040ebc9f4;AA0409;sin datos 1 mes
0013a20040ebc9f3;AA0410;sin datos 1 mes
0013a20040ebca42;AA0411;sin datos 1 mes
0013a20040ebca3d;AA0413;sin datos 1 mes
0013a20040ebca34;AA0414;sin datos 1 mes
0013a20040ebca46;AA0415;sin datos 1 mes
0013a20040ebca45;AA0416;sin datos 1 mes
0013a20040ebca53;AA0417;sin datos 1 mes
